序号,学校,专业组,冲稳保,证据状态,近年位次,计划数,风险,待核验,服从调剂
1,南京信息工程大学,物理类信息组,冲,third-party,30000-36000,6,热门专业溢价;组内下限待查,2026专业组内全部专业;招生计划,看专业组下限
2,杭州电子科技大学,电子信息类组,冲,official-historical,28000-35000,4,省外热门工科;计划数偏小,2026分省计划;学费校区,看专业组下限
3,江苏大学,电气自动化组,稳,official-historical,36000-43000,18,专业组下限需确认,2026专业组;近三年投档位次,是
4,南京工业大学,自动化电子组,稳,official-historical,34000-41000,14,可能含材料化工相邻专业,2026专业组内全部专业,看专业组下限
5,常州大学,电气信息组,保,school-historical,48000-62000,32,城市和校名弱于南京苏州,2026招生计划;校区,是
6,江苏海洋大学,电子信息组,保,official-historical,62000-76000,24,地理位置接受度,2026计划;宿舍校区,是
7,安徽工业大学,电气自动化组,保,official-historical,52000-70000,20,省外接受度,2026江苏计划;专业组下限,是
8,某民办科技学院,计算机组,观察,missing,70000-90000,80,民办费用和就业质量待核,学费;毕业证;就业质量,否
9,某中外合作项目,软件工程中外合作,观察,third-party,58000-72000,3,费用可能超过预算;计划数小,学费;留服认证;招生章程,否
10,某工科大学,化工材料混合组,剔除,official-historical,50000-65000,40,含明确排斥专业,专业组内专业,否
